artifact_id,filename,type,status,artifact_role,supports_results,repo_relative_path,sha256,git_sha,path_observed,notes,migration_note,path,role
ART-SIM-NATIVE-COMPONENT-DECOUPLE-001,ra_component_decoupling_audit_v1_1.csv,csv,packet_local_validated_pending_canonical,analysis_output,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001;RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,outputs/ra_component_decoupling_audit_v1_1.csv,90aa6e66372d2cd1d91270c39dc56d9bbff87ee7bb7b6dd1bed4c345851415b5,,outputs/ra_component_decoupling_audit_v1_1.csv,v1.1 native component decoupling packet artifact,,outputs/ra_component_decoupling_audit_v1_1.csv,analysis_output
ART-SIM-NATIVE-COMPONENT-DECOUPLE-002,ra_component_partial_correlation_v1_1.csv,csv,packet_local_validated_pending_canonical,analysis_output,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001;RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,outputs/ra_component_partial_correlation_v1_1.csv,01d06d721b00a198b4296bfb868e77872f88c183a393d1bb49086ea7c443958c,,outputs/ra_component_partial_correlation_v1_1.csv,v1.1 native component decoupling packet artifact,,outputs/ra_component_partial_correlation_v1_1.csv,analysis_output
ART-SIM-NATIVE-COMPONENT-DECOUPLE-003,ra_ledger_orientation_specificity_comparison_v1_1.csv,csv,packet_local_validated_pending_canonical,analysis_output,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001;RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,outputs/ra_ledger_orientation_specificity_comparison_v1_1.csv,ae305b3e176e05844c4e4292316ead6c4f6deb3320aec179f89ebae12a8dd16a,,outputs/ra_ledger_orientation_specificity_comparison_v1_1.csv,v1.1 native component decoupling packet artifact,,outputs/ra_ledger_orientation_specificity_comparison_v1_1.csv,analysis_output
ART-SIM-NATIVE-COMPONENT-DECOUPLE-004,ra_matched_overlap_strata_v1_1.csv,csv,packet_local_validated_pending_canonical,analysis_output,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001;RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,outputs/ra_matched_overlap_strata_v1_1.csv,54af47dbfb9a8272d710cf4bb978f882ddbd4f22aff6ff008bd107872ffb8119,,outputs/ra_matched_overlap_strata_v1_1.csv,v1.1 native component decoupling packet artifact,,outputs/ra_matched_overlap_strata_v1_1.csv,analysis_output
ART-SIM-NATIVE-COMPONENT-DECOUPLE-005,ra_native_component_decoupling_state_v1_1.json,json,packet_local_validated_pending_canonical,analysis_output,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001;RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,outputs/ra_native_component_decoupling_state_v1_1.json,4bc33eb05beb8ca9b4c1111bb32dd84bf259a45bc04e50f70c45457fca4028d1,,outputs/ra_native_component_decoupling_state_v1_1.json,v1.1 native component decoupling packet artifact,,outputs/ra_native_component_decoupling_state_v1_1.json,analysis_output
ART-SIM-NATIVE-COMPONENT-DECOUPLE-006,ra_native_component_decoupling_summary_v1_1.csv,csv,packet_local_validated_pending_canonical,analysis_output,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001;RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,outputs/ra_native_component_decoupling_summary_v1_1.csv,d935651e6b4eecb8264cacc41bcbc7038aa23605dd688aec6fdff8207a25cfbf,,outputs/ra_native_component_decoupling_summary_v1_1.csv,v1.1 native component decoupling packet artifact,,outputs/ra_native_component_decoupling_summary_v1_1.csv,analysis_output
ART-SIM-NATIVE-COMPONENT-DECOUPLE-007,ra_native_component_decoupling_summary_v1_1.md,md,packet_local_validated_pending_canonical,analysis_output,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001;RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,outputs/ra_native_component_decoupling_summary_v1_1.md,2b55888f645ab9442a03d8ffe912cf1d1fbbf555c99727c1caf52f5bf3ec3131,,outputs/ra_native_component_decoupling_summary_v1_1.md,v1.1 native component decoupling packet artifact,,outputs/ra_native_component_decoupling_summary_v1_1.md,analysis_output
ART-SIM-NATIVE-COMPONENT-DECOUPLE-008,ra_orientation_ablation_after_support_control_v1_1.csv,csv,packet_local_validated_pending_canonical,analysis_output,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001;RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,outputs/ra_orientation_ablation_after_support_control_v1_1.csv,5bdc9741b87ca379371b450f7806172c794f7bd4d80d48d99281048f17dc15b1,,outputs/ra_orientation_ablation_after_support_control_v1_1.csv,v1.1 native component decoupling packet artifact,,outputs/ra_orientation_ablation_after_support_control_v1_1.csv,analysis_output
ART-SIM-NATIVE-COMPONENT-DECOUPLE-009,ra_orientation_specificity_by_mode_v1_1.csv,csv,packet_local_validated_pending_canonical,analysis_output,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001;RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,outputs/ra_orientation_specificity_by_mode_v1_1.csv,5e885c79806db282b2e5d0e665a71ddf0c4b83bedcf22d59ce17607948452613,,outputs/ra_orientation_specificity_by_mode_v1_1.csv,v1.1 native component decoupling packet artifact,,outputs/ra_orientation_specificity_by_mode_v1_1.csv,analysis_output
ART-SIM-NATIVE-COMPONENT-DECOUPLE-010,ra_native_component_decoupling.py,py,packet_local_validated_pending_canonical,analysis_source,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001;RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,analysis/ra_native_component_decoupling.py,b7025c848bce33cdf94d92a77472724c971545a776043258b3a582dada9c459c,,analysis/ra_native_component_decoupling.py,v1.1 native component decoupling packet artifact,,analysis/ra_native_component_decoupling.py,analysis_source
