site,component_id,candidates,selected,rejected,stalemate,reason,selector_mode,selector_tie_policy
1,0,"[""genesis_seed""]","[""genesis_seed""]",[],False,singleton_component_selected,greedy,lexicographic
1,1,"[""renewal_1""]","[""renewal_1""]",[],False,singleton_component_selected,greedy,lexicographic
2,0,"[""genesis_seed""]","[""genesis_seed""]",[],False,singleton_component_selected,greedy,lexicographic
2,1,"[""renewal_1""]","[""renewal_1""]",[],False,singleton_component_selected,greedy,lexicographic
2,2,"[""renewal_2""]","[""renewal_2""]",[],False,singleton_component_selected,greedy,lexicographic
3,0,"[""choice_A_3""]","[""choice_A_3""]",[],False,singleton_component_selected,greedy,lexicographic
3,1,"[""genesis_seed""]","[""genesis_seed""]",[],False,singleton_component_selected,greedy,lexicographic
3,2,"[""renewal_1""]","[""renewal_1""]",[],False,singleton_component_selected,greedy,lexicographic
3,3,"[""renewal_2""]","[""renewal_2""]",[],False,singleton_component_selected,greedy,lexicographic
3,4,"[""renewal_3""]","[""renewal_3""]",[],False,singleton_component_selected,greedy,lexicographic
4,0,"[""choice_A_3""]","[""choice_A_3""]",[],False,singleton_component_selected,greedy,lexicographic
4,1,"[""genesis_seed""]","[""genesis_seed""]",[],False,singleton_component_selected,greedy,lexicographic
4,2,"[""renewal_1""]","[""renewal_1""]",[],False,singleton_component_selected,greedy,lexicographic
4,3,"[""renewal_2""]","[""renewal_2""]",[],False,singleton_component_selected,greedy,lexicographic
4,4,"[""renewal_3""]","[""renewal_3""]",[],False,singleton_component_selected,greedy,lexicographic
5,0,"[""choice_A_3""]","[""choice_A_3""]",[],False,singleton_component_selected,greedy,lexicographic
5,1,"[""choice_A_5""]","[""choice_A_5""]",[],False,singleton_component_selected,greedy,lexicographic
5,2,"[""genesis_seed""]","[""genesis_seed""]",[],False,singleton_component_selected,greedy,lexicographic
5,3,"[""renewal_1""]","[""renewal_1""]",[],False,singleton_component_selected,greedy,lexicographic
5,4,"[""renewal_2""]","[""renewal_2""]",[],False,singleton_component_selected,greedy,lexicographic
5,5,"[""renewal_3""]","[""renewal_3""]",[],False,singleton_component_selected,greedy,lexicographic
6,0,"[""choice_A_3""]","[""choice_A_3""]",[],False,singleton_component_selected,greedy,lexicographic
6,1,"[""choice_A_5""]","[""choice_A_5""]",[],False,singleton_component_selected,greedy,lexicographic
6,2,"[""genesis_seed""]","[""genesis_seed""]",[],False,singleton_component_selected,greedy,lexicographic
6,3,"[""renewal_1""]","[""renewal_1""]",[],False,singleton_component_selected,greedy,lexicographic
6,4,"[""renewal_2""]","[""renewal_2""]",[],False,singleton_component_selected,greedy,lexicographic
6,5,"[""renewal_3""]","[""renewal_3""]",[],False,singleton_component_selected,greedy,lexicographic
6,6,"[""renewal_6""]","[""renewal_6""]",[],False,singleton_component_selected,greedy,lexicographic
7,0,"[""choice_A_3""]","[""choice_A_3""]",[],False,singleton_component_selected,greedy,lexicographic
7,1,"[""choice_A_5""]","[""choice_A_5""]",[],False,singleton_component_selected,greedy,lexicographic
7,2,"[""choice_B_7""]","[""choice_B_7""]",[],False,singleton_component_selected,greedy,lexicographic
